epoch,learning_rate,loss,step,val_loss
0,9.999999747378752e-06,,1240,2.343780994415283
0,,2.9699623584747314,1240,
1,9.999999747378752e-06,,2481,2.0684452056884766
1,,1.760282278060913,2481,
2,9.999999747378752e-06,,3722,1.8706161975860596
2,,1.6208560466766357,3722,
3,9.999999747378752e-06,,4963,1.5886340141296387
3,,1.5098122358322144,4963,
4,9.999999747378752e-06,,6204,1.764147162437439
4,,1.4191147089004517,6204,
5,9.999999747378752e-06,,7445,1.5065549612045288
5,,1.3225611448287964,7445,
6,9.999999747378752e-06,,8686,1.4575436115264893
6,,1.2354601621627808,8686,
7,9.999999747378752e-06,,9927,1.4674149751663208
7,,1.151262879371643,9927,
8,9.999999747378752e-06,,11168,1.1404763460159302
8,,1.0760629177093506,11168,
9,9.999999747378752e-06,,12409,1.0863770246505737
9,,1.0074958801269531,12409,
10,9.999999747378752e-06,,13650,1.4372992515563965
10,,0.9519136548042297,13650,
11,9.999999747378752e-06,,14891,1.3174949884414673
11,,0.9011697769165039,14891,
12,9.999999747378752e-06,,16132,1.4104797840118408
12,,0.8585451245307922,16132,
13,9.999999747378752e-06,,17373,0.9717686176300049
13,,0.8262709379196167,17373,
14,9.999999747378752e-06,,18614,1.1110576391220093
14,,0.7958899140357971,18614,
15,9.999999747378752e-06,,19855,1.1153253316879272
15,,0.7725016474723816,19855,
16,9.999999747378752e-06,,21096,1.2482569217681885
16,,0.746870756149292,21096,
17,9.999999747378752e-06,,22337,1.0461961030960083
17,,0.7311861515045166,22337,
18,9.999999747378752e-06,,23578,1.1739444732666016
18,,0.7095770835876465,23578,
19,9.999999747378752e-06,,24819,1.014504313468933
19,,0.6982211470603943,24819,
20,9.999999747378752e-06,,26060,1.0246119499206543
20,,0.6786749958992004,26060,
21,9.999999747378752e-06,,27301,1.4161220788955688
21,,0.6650216579437256,27301,
22,9.999999747378752e-06,,28542,1.298097848892212
22,,0.6511906385421753,28542,
23,9.999999747378752e-06,,29783,1.0382277965545654
23,,0.6389032602310181,29783,
24,9.999999747378752e-06,,31024,1.1177059412002563
24,,0.6269755959510803,31024,
25,9.999999974752427e-07,,32265,1.274079442024231
25,,0.5992270708084106,32265,
26,9.999999974752427e-07,,33506,1.23372483253479
26,,0.5974471569061279,33506,
27,9.999999974752427e-07,,34747,1.212581992149353
27,,0.5958923697471619,34747,
28,9.999999974752427e-07,,35988,1.2480428218841553
28,,0.5951893925666809,35988,
29,9.999999974752427e-07,,37229,1.3362045288085938
29,,0.593443751335144,37229,
30,9.999999974752427e-07,,38470,1.2539712190628052
30,,0.592265248298645,38470,
31,9.999999974752427e-07,,39711,1.2524775266647339
31,,0.5911460518836975,39711,
32,9.999999974752427e-07,,40952,1.2162806987762451
32,,0.5900501608848572,40952,
33,9.999999974752427e-07,,42193,1.2325901985168457
33,,0.5885584950447083,42193,
